,numer_sta,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,tc,tn12c,tn24c,tx12c,tx24c,tminsolc,latitude,longitude,altitude,code_epci,code_reg,mois_de_l_annee
count,10000.0,9602.0,8810.0,8550.0,9881.0,9882.0,9987.0,9962.0,9956.0,7704.0,7703.0,3703.0,3472.0,5634.0,5368.0,5399.0,3634.0,3378.0,3306.0,9179.0,85.0,201.0,4046.0,2124.0,340.0,2124.0,320.0,2987.0,0.0,0.0,3366.0,8398.0,8410.0,2560.0,3273.0,2117.0,2016.0,8643.0,8888.0,5147.0,4775.0,4268.0,4961.0,4882.0,2070.0,52.0,4593.0,3358.0,4483.0,2323.0,1687.0,2297.0,729.0,436.0,729.0,39.0,98.0,39.0,9987.0,2124.0,340.0,2124.0,320.0,2987.0,10000.0,10000.0,10000.0,8704.0,8704.0,10000.0
mean,24914.4456,101538.87940012498,1.0522133938706015,4.311578947368421,178.50116384981277,4.112730216555354,287.5401121457895,282.8217767516563,75.5946163117718,25132.6220145379,7.673893288329222,2.2400756143667295,1.7462557603686637,72.75008874689387,4.045640834575261,1531.2131876273384,34.629609246009906,30.282119597394907,25.78735632183908,99837.07484475433,85000.0,7795.73631840796,34.7256549678695,282.99901129943504,294.91117647058826,289.36068738229756,302.569375,281.8119350518915,,,6.7444147355912065,7.469933317456538,-10.60166468489893,1.013671875,0.0012373968835930338,0.0006140765233821446,-44.18154761904762,0.09709591576998727,0.33044554455445546,0.6902856032640372,1.1895706806282724,2.6188144329896907,728.5019149365047,1097.2773453502664,2896.716425120773,2885.673076923077,3.6327019377313303,6.141155449672424,1642.0187374525988,5.154111063280241,4.1203319502074685,2806.434479756204,5.997256515775034,3.0986238532110093,3435.6241426611796,4.282051282051282,6.551020408163265,4046.4102564102564,14.390112145789548,9.84901129943505,21.761176470588257,16.210687382297575,29.419375000000024,8.661935051891549,30.971574451400002,3.9002513266000003,132.3792,225987485.35259652,51.55181525735294,6.3472
std,29196.651329618726,940.8376679204088,124.89575445715174,2.718086308166466,107.0007483404039,3.2342686544648473,9.373657500909758,8.98332643373423,16.71153873869784,16904.44176694609,17.718260250146148,2.382493596449449,1.6995136597268168,33.44850424947024,3.0425777391201283,1848.566900020058,4.9224499070093195,16.246528888503768,22.49881161087043,2331.2595897372635,0.0,7942.786880253327,527.9656236414438,8.300404564359722,6.804225550163503,9.324095159317116,6.1418447278844495,6.964406734044208,,,5.405585961121104,5.177946499021204,5.022905989104801,2.665434564254905,0.021599322401062472,0.02157986989637829,16.18518075938939,0.7543284882060105,1.6771165327672084,2.929837467592127,3.97698027967576,6.9582796901136,104.8370550485449,69.09587102293966,501.6018230182844,310.7378771256298,2.541783586354088,3.52162950733173,1970.0070688961198,1.9468418118071507,2.7599246785701808,2420.759403193264,1.843459820909334,2.85301178805592,2411.4674927162755,2.584861982966432,3.2653205869656485,2907.432840496458,9.37365750090976,8.300404564359722,6.804225550163504,9.324095159317116,6.1418447278844495,6.964406734044207,29.115009461196475,33.813409563558665,187.755135765871,22521316.3328763,30.892419199216402,3.484460690929181
min,7005.0,95940.0,-1060.0,0.0,0.0,0.0,243.65,224.96,1.0,40.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,20.0,10.0,81330.0,85000.0,624.0,-3270.0,241.65,263.45,249.05,269.15,260.15,,,0.0,0.0,-60.0,0.0,-0.01,0.0,-60.0,-0.1,-0.1,-0.1,-0.1,-0.1,710.0,710.0,1113.0,2426.0,0.0,0.0,30.0,1.0,0.0,60.0,1.0,0.0,390.0,1.0,0.0,600.0,-29.49999999999997,-31.49999999999997,-9.699999999999989,-24.09999999999997,-4.0,-13.0,-66.663167,-62.852167,2.0,200018653.0,1.0,1.0
5%,7020.0,99870.0,-190.0,0.0,10.0,0.5,273.15,269.45,43.0,3301.5000000000005,0.0,0.0,0.0,0.0,0.0,150.0,30.0,20.0,10.0,94007.0,85000.0,750.0,-790.0,270.75,275.74,274.765,291.135,271.75,,,1.2,1.9,-10.0,0.0,0.0,0.0,-60.0,0.0,0.0,-0.1,-0.1,-0.1,710.0,1102.0,1123.0,2436.55,1.0,0.0,180.0,2.0,0.0,480.0,1.0,0.0,780.0,1.0,0.0,695.0,0.0,-2.3999999999999773,2.590000000000023,1.6150000000000269,17.985000000000003,-1.3999999999999773,-37.795167,-56.179167,3.0,200027183.0,2.0,1.0
25%,7207.0,101130.0,-70.0,2.0,80.0,1.9,281.05,277.15,65.0,13000.0,0.0,1.0,1.0,50.0,1.0,450.0,31.0,20.0,10.0,99000.0,85000.0,845.0,-200.0,277.75,295.425,283.45,302.32500000000005,276.65,,,3.0,3.9,-10.0,0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,710.0,1104.0,3100.0,2448.0,1.0,6.0,540.0,3.0,3.0,1050.0,5.0,0.0,1500.0,2.0,6.0,1250.0,7.900000000000034,4.600000000000023,22.27500000000002,10.300000000000011,29.17500000000004,3.5,16.264,-1.4115,10.75,200066058.0,28.0,3.0
50%,7558.0,101570.0,0.0,4.0,180.0,3.4,287.15,282.65,78.0,20000.0,2.0,1.0,1.0,90.0,4.0,800.0,35.0,23.0,11.0,100580.0,85000.0,1509.0,30.0,283.1,296.65,289.05,303.75,281.25,,,5.3,6.2,-10.0,0.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,710.0,1106.0,3100.0,3100.0,3.0,7.0,900.0,5.0,6.0,1800.0,6.0,3.0,2460.0,5.0,8.0,2700.0,14.0,9.950000000000017,23.5,15.900000000000034,30.600000000000023,8.100000000000023,44.6630835,2.384333,59.0,242010056.0,53.0,6.0
75%,61970.0,102090.0,70.0,7.0,270.0,5.7,295.35,288.55,89.0,35000.0,2.0,2.0,2.0,100.0,7.0,1750.0,37.0,27.0,60.0,101280.0,85000.0,17400.0,250.0,288.05,298.05,295.85,305.15,286.6,,,8.8,9.8,-10.0,1.0,0.0,0.0,-30.0,0.0,0.0,0.0,0.4,2.0,710.0,1109.0,3100.0,3100.0,6.0,8.0,1620.0,7.0,6.0,3900.0,7.0,6.0,5400.0,7.0,9.0,7000.0,22.200000000000045,14.900000000000034,24.900000000000038,22.700000000000045,32.0,13.450000000000017,47.614333,5.959833,151.0,245600465.0,76.0,9.0
95%,81405.0,102960.0,200.0,8.0,340.0,10.09499999999989,301.85,296.85,97.0,60000.0,61.0,8.0,6.0,100.0,8.0,7500.0,38.0,61.0,60.0,102140.0,85000.0,18100.0,890.0,296.65,300.05,304.35,307.655,294.41999999999996,,,17.5,17.0,-10.0,4.0,0.0,0.0,-30.0,0.4,2.0,4.0,6.8,14.064999999999964,710.0,1114.0,3100.0,3101.0,8.0,8.0,7295.999999999985,8.0,8.0,7800.0,8.0,8.0,7800.0,8.0,9.0,8000.0,28.700000000000045,23.5,26.900000000000038,31.200000000000045,34.505,21.270000000000003,49.725167,55.528667,414.0,249730045.0,93.0,12.0
max,89642.0,104420.0,930.0,8.0,360.0,31.9,308.65,299.75,100.0,80000.0,95.0,9.0,9.0,101.0,9.0,9000.0,62.0,61.0,60.0,104140.0,85000.0,19150.0,3360.0,306.15,304.15,310.25,309.75,323.15,,,44.2,54.2,-10.0,18.0,1.15,0.99,60.0,36.0,42.0,61.0,72.0,117.9,3100.0,3100.0,3199.0,3101.0,9.0,59.0,9000.0,8.0,9.0,9500.0,8.0,9.0,9000.0,8.0,9.0,9000.0,35.5,33.0,31.0,37.10000000000002,36.60000000000002,50.0,50.57,140.001,871.0,249740119.0,94.0,12.0
