,duree_moyenne,nb_train_prevu,nb_annulation,commentaire_annulation,nb_train_depart_retard,retard_moyen_depart,retard_moyen_tous_trains_depart,commentaire_retards_depart,nb_train_retard_arrivee,retard_moyen_arrivee,retard_moyen_tous_trains_arrivee,nb_train_retard_sup_15,retard_moyen_trains_retard_sup15,nb_train_retard_sup_30,nb_train_retard_sup_60,prct_cause_externe,prct_cause_infra,prct_cause_gestion_trafic,prct_cause_materiel_roulant,prct_cause_gestion_gare,prct_cause_prise_en_charge_voyageurs
count,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,170.0009,268.3129,9.5239,,87.2698,11.836147679556415,3.0505258994777993,,36.4839,34.48680513833892,5.826539837447264,25.9115,34.63685507770386,12.3926,4.6123,21.883001657746654,21.7815348213281,19.90393272316464,19.039032779069075,7.1939761277607746,7.6185218902199585
std,87.63316185266642,180.69244192673622,24.03418384279564,,89.46211128123173,11.8719948037676,5.009596821344222,,30.481841398700073,15.653863312787236,7.363664900754737,21.834246980010978,19.797572669177296,11.448727989486768,5.283160028618176,16.19640913965593,15.119675392334125,14.800969724380854,13.752947022390584,8.053859136307524,9.87120517615307
min,0.0,0.0,0.0,,0.0,0.0,-229.2694444,,0.0,-40.10925926,-472.6388889,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,59.950000000000045,31.0,0.0,,5.0,1.9612034537,0.20680902780000007,,3.0,14.705451393,1.1326711247000003,2.0,3.10132617955,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,99.0,148.0,0.0,,22.0,5.81488320675,1.1706101660000001,,15.0,25.1953968275,3.2772063837500003,10.0,25.306589672500003,4.0,1.0,10.71428571,11.76470588,10.0,10.0,0.0,0.0
50%,163.0,228.0,2.0,,53.0,9.862142256,2.2608756684999998,,29.0,32.801315790000004,5.165359477,21.0,36.440454544999994,9.0,3.0,19.536500408984423,20.0,18.18181818,17.24137931,5.55555556,4.761904762
75%,222.0,356.0,8.0,,128.0,15.0559222875,3.8830250617499997,,50.0,41.6564055475,7.841456925999999,35.0,45.67720733805555,17.0,6.0,30.43478261,29.508196721311503,27.90697674,25.925925925925903,10.76923077,11.11111111
95%,335.0,604.0499999999993,42.04999999999927,,276.0499999999993,25.984166663499987,7.973694036649998,,98.0,60.72697865254996,13.187199280999998,68.0,64.5340112965,35.0,15.0,50.0,48.0,45.83333333,43.75,21.428571428571395,25.0
max,786.0,1100.0,297.0,,591.0,316.1880952,84.51666667,,255.0,299.6,92.0,209.0,299.6,109.0,59.0,100.0,100.0,100.0,100.0,100.0,100.0
